Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar
1/1/79,-147.8119965,68.22200012,1263,-8.969,-17.569,0.424003644,3.818202211,0.921170749,0
1/2/79,-147.8119965,68.22200012,1263,-13.871,-28.757,0,2.400296888,0.797489898,0
1/3/79,-147.8119965,68.22200012,1263,-13.108,-22.236,0,2.819521559,0.722098274,0
1/4/79,-147.8119965,68.22200012,1263,-15.833,-23.623,0,1.847512539,0.569721555,0
1/5/79,-147.8119965,68.22200012,1263,-14.258,-22.747,0,2.11984219,0.566096833,0
1/6/79,-147.8119965,68.22200012,1263,-12.253,-24.602,0,2.225073883,0.693534908,0
1/7/79,-147.8119965,68.22200012,1263,-16.64,-25.435,0,1.169666764,0.800223622,0
1/8/79,-147.8119965,68.22200012,1263,-12.316,-17.91,0,2.47220262,0.875448548,0
1/9/79,-147.8119965,68.22200012,1263,-15.618,-24.136,0,2.425368671,0.776537439,0
1/10/79,-147.8119965,68.22200012,1263,-16.86,-19.1,0,3.158227857,0.791033642,0
1/11/79,-147.8119965,68.22200012,1263,-16.992,-20.376,0,4.254834163,0.793847347,0
1/12/79,-147.8119965,68.22200012,1263,-19.773,-24.553,0,3.287742503,0.683907377,0.00118125
1/13/79,-147.8119965,68.22200012,1263,-16.489,-27.178,0.171661442,2.631797675,0.721388134,0.00315
1/14/79,-147.8119965,68.22200012,1263,-17.859,-28.213,0,2.017278395,0.802529285,0.0066375
1/15/79,-147.8119965,68.22200012,1263,-15.491,-18.463,0.370788754,2.817289845,0.86382641,0.01096875
1/16/79,-147.8119965,68.22200012,1263,-15.209,-21.035,1.086616944,2.155017069,0.869055206,0.014737464
1/17/79,-147.8119965,68.22200012,1263,-12.423,-29.417,1.375008214,2.848675324,0.855999609,0.019012482
1/18/79,-147.8119965,68.22200012,1263,-18.204,-37.374,0.013732906,1.411826348,0.73637235,0.030824982
1/19/79,-147.8119965,68.22200012,1263,-17.499,-32.054,0.006866453,2.069821223,0.741659885,0.03808125
1/20/79,-147.8119965,68.22200012,1263,-18.723,-36.648,0.07209779,1.860850925,0.751866879,0.045731268
1/21/79,-147.8119965,68.22200012,1263,-18.933,-29.618,0,2.514978613,0.77879452,0.052200018
1/22/79,-147.8119965,68.22200012,1263,-13.936,-27.852,0.501251342,1.412223548,0.803857884,0.069862518
1/23/79,-147.8119965,68.22200012,1263,-19.97,-28.831,0.147628757,1.942924004,0.795361973,0.08595
1/24/79,-147.8119965,68.22200012,1263,-20.575,-26.705,0.106430062,1.801007855,0.796294096,0.092081214
1/25/79,-147.8119965,68.22200012,1263,-20.465,-29.797,0.061798046,1.846410928,0.775923076,0.132524712
1/26/79,-147.8119965,68.22200012,1263,-18.767,-25.198,0.020599358,3.283648291,0.810308503,0.156150162
1/27/79,-147.8119965,68.22200012,1263,-21.198,-25.287,0.228309588,4.292004374,0.794626238,0.159468408
1/28/79,-147.8119965,68.22200012,1263,-24.638,-27.053,0.054931622,5.038795879,0.776185462,0.20131857
1/29/79,-147.8119965,68.22200012,1263,-26.879,-42.795,0,2.055640496,0.687967061,0.274668822
1/30/79,-147.8119965,68.22200012,1263,-28.36,-42.913,0,1.999274055,0.697077328,0.321187428
1/31/79,-147.8119965,68.22200012,1263,-25.769,-36.967,0.578498904,1.840900548,0.718753184,0.261956232
2/1/79,-147.8119965,68.22200012,1263,-31.635,-36.06,0.099563558,4.67838203,0.706799281,0.395043732
2/2/79,-147.8119965,68.22200012,1263,-31.414,-36.286,0,4.961933279,0.690213901,0.50788134
2/3/79,-147.8119965,68.22200012,1263,-30.476,-44.812,0,2.899899391,0.69321523,0.57442554
2/4/79,-147.8119965,68.22200012,1263,-29.221,-43.208,0.017166132,4.452156187,0.702967618,0.579825
2/5/79,-147.8119965,68.22200012,1263,-30.754,-33.443,0.006866453,5.403770185,0.732069455,0.68090634
2/6/79,-147.8119965,68.22200012,1263,-32.606,-47.176,0.013732906,4.874197146,0.708416488,0.7985817
2/7/79,-147.8119965,68.22200012,1263,-27.929,-48.178,0,1.748681838,0.624621729,0.93858786
2/8/79,-147.8119965,68.22200012,1263,-24.755,-27.425,0.020599358,3.834553525,0.74231982,0.931443768
2/9/79,-147.8119965,68.22200012,1263,-24.512,-32.999,0,2.729365417,0.729167832,1.08680688
2/10/79,-147.8119965,68.22200012,1263,-19.499,-26.926,0.272941596,4.366332167,0.752239691,0.999112716
2/11/79,-147.8119965,68.22200012,1263,-25.576,-46.008,0.030899059,2.212046437,0.698676342,1.417893768
2/12/79,-147.8119965,68.22200012,1263,-31.774,-41.808,0,2.441142521,0.683730222,1.62562464
2/13/79,-147.8119965,68.22200012,1263,-30.447,-44.151,0,1.544945558,0.601043049,1.54794438
2/14/79,-147.8119965,68.22200012,1263,-28.51,-40.006,0,2.234774083,0.471388477,1.91469402
2/15/79,-147.8119965,68.22200012,1263,-20.031,-28.33,0.324440431,2.696113086,0.73603626,1.46154402
2/16/79,-147.8119965,68.22200012,1263,-23.669,-39.547,0.013732906,1.783160653,0.732368944,2.16691812
2/17/79,-147.8119965,68.22200012,1263,-16.871,-29.256,0.048065206,3.332648746,0.740435818,1.90147536
2/18/79,-147.8119965,68.22200012,1263,-22.41,-36.71,0,2.008904977,0.749175542,2.49204204
2/19/79,-147.8119965,68.22200012,1263,-18.235,-31.849,0,1.663945257,0.693459183,2.36615472
2/20/79,-147.8119965,68.22200012,1263,-19.796,-35.003,0,1.267070302,0.707099965,2.92961484
